Теги;Размещение транспортной инфраструктуры районного уровня;Размещение транспортной инфраструктуры местного уровня;Размещение коммерческих точек;Обустройство общественных пространств городского уровня;Обустройство общественных пространств районного уровня;Обустройство общественных пространств местного уровня;Устройство защитной зоны;Размещение нового объекта: медицинская инфраструктура;Размещение нового объекта: образовательная инфраструктура;Размещение нового объекта: спортивная инфраструктура;Размещение нового объекта: культурная инфраструктура;Размещение нового объекта: озеленение территории;Размещение нового объекта: знаковые объекты;Регулирование высотности: рекомендуется малоэтажная застрйока;Регулирование высотности: рекомендуется среднеэтажная застройка;Регулирование высотности: рекомендуется многоэтажная застройка
Жилая;1;1;1;0;1;1;0;1;1;1;1;1;0;0;0;0
Общественно-деловая;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0
Производственная;1;0;1;-1;-1;-1;1;0;0;0;-1;1;0;0;0;0
Инженерная и транспортная инфраструктура;1;0;1;0;0;0;1;0;0;0;-1;1;0;0;0;0
Сельскохозяйсвенного использования;1;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0
Рекреационная;1;1;1;1;1;1;0;0;0;1;0;1;1;0;0;0
Специального назначения;1;0;0;-1;-1;-1;1;-1;-1;-1;-1;0;0;0;0;0
Городского уровня;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;-1
Районного уровня;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Местного уровня;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Медицинские учреждения;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0
Образовательные учреждения;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0
Спортивные объекты;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
Коммерческие объекты;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Культурные объекты;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0
Рекреационные объекты;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0
Туристические объекты;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0
Водный объект;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
Городская набережная;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
Пляж;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0
Городской лес;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Скверы и парки;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
Линейное озеленение;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Объекты культурного наследия;0;0;0;0;0;0;1;0;0;0;0;0;-1;0;0;0
Городские достопримечательности;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
Жилая;1;1;1;1;1;1;0;1;1;1;1;1;0;0;0;0
Нежилая;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Смешанная;1;1;1;0;1;0;0;1;1;1;1;1;0;0;0;0
Плотная;1;1;1;1;1;1;0;1;1;1;0;1;1;0;0;0
Низкоплотная;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Многоэтажная (9-16+);1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1
Среднеэтажная (5-8);1;1;1;0;1;1;0;1;1;1;1;1;0;1;1;1
Малоэтажная (1-4);0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0
